                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0582,                 1.1919,                0.92311,                0.42748,                0.30583,                0.30743,                0.12704,                 2.0305,                 1.1373,                0.90738,               0.007195,               0.007195,               0.007195
                     36,                 2.0758,                 1.2106,                0.91598,                  0.425,                0.31723,                0.31289,                0.12757,                 2.0346,                 1.1273,                0.90924,              0.0071125,              0.0071125,              0.0071125
                     37,                  2.055,                 1.1895,                0.91691,                  0.405,                0.32131,                 0.3101,                0.12909,                 2.0227,                 1.1224,                0.90602,                0.00703,                0.00703,                0.00703
                     38,                 2.0647,                  1.195,                0.91361,                0.40986,                0.31424,                0.30862,                0.12815,                 2.0155,                  1.125,                0.90592,              0.0069475,              0.0069475,              0.0069475
                     39,                 2.0428,                 1.1761,                0.91284,                0.41516,                0.32426,                0.31272,                0.12989,                 2.0124,                 1.1314,                0.90529,               0.006865,               0.006865,               0.006865
                     40,                 2.0326,                 1.1743,                0.91256,                0.40031,                0.31787,                0.30555,                0.12653,                 2.0208,                  1.126,                0.90668,              0.0067825,              0.0067825,              0.0067825
                     41,                 2.0337,                 1.1702,                0.90991,                0.41839,                0.31355,                0.30962,                0.12766,                 2.0145,                 1.1219,                0.90524,                 0.0067,                 0.0067,                 0.0067
                     42,                 2.0215,                 1.1535,                0.90871,                0.39515,                0.32125,                0.31247,                0.12982,                 2.0048,                 1.1159,                0.90303,              0.0066175,              0.0066175,              0.0066175
                     43,                 2.0185,                 1.1487,                0.91176,                0.42789,                 0.3114,                0.31616,                0.13313,                 2.0064,                 1.1123,                0.90358,               0.006535,               0.006535,               0.006535
                     44,                 2.0115,                 1.1546,                0.91115,                0.42286,                0.31075,                0.31234,                0.13002,                 1.9994,                 1.1069,                 0.9048,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.9964,                 1.1432,                0.91077,                0.43425,                0.31933,                0.32032,                0.13359,                 1.9949,                 1.1158,                0.90236,                0.00637,                0.00637,                0.00637
                     46,                  1.999,                 1.1357,                0.90823,                0.40946,                0.32798,                0.31493,                0.13207,                  1.984,                 1.1035,                0.90186,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.9677,                 1.1291,                  0.908,                0.41425,                0.31697,                0.31349,                0.13167,                  2.006,                  1.105,                0.90301,               0.006205,               0.006205,               0.006205
                     48,                  1.969,                 1.1164,                0.90658,                 0.4398,                0.32266,                  0.323,                0.13602,                 1.9797,                 1.0883,                0.90087,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.9656,                 1.1116,                0.90725,                0.42952,                0.32464,                0.32225,                0.13494,                 1.9855,                 1.0883,                0.89944,                0.00604,                0.00604,                0.00604
                     50,                 1.9882,                 1.1278,                0.90123,                0.42859,                0.33714,                0.32661,                0.13696,                 1.9865,                 1.0892,                 0.9022,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.9622,                 1.1108,                0.90251,                0.45091,                0.31879,                0.32402,                0.13652,                 1.9855,                 1.0884,                0.90252,               0.005875,               0.005875,               0.005875
                     52,                 1.9729,                 1.1128,                0.89925,                0.44009,                0.32988,                0.32665,                0.13779,                 1.9815,                 1.0861,                0.89945,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.9524,                    1.1,                0.89835,                0.44045,                0.31994,                0.32085,                0.13552,                 1.9815,                 1.1003,                0.89955,                0.00571,                0.00571,                0.00571
                     54,                 1.9493,                  1.097,                0.89896,                  0.429,                0.32949,                 0.3206,                0.13364,                 1.9927,                 1.0927,                0.90273,              0.0056275,              0.0056275,              0.0056275
                     55,                  1.954,                 1.0986,                0.89706,                0.42294,                0.33184,                0.32323,                0.13643,                 1.9821,                 1.0881,                0.90206,               0.005545,               0.005545,               0.005545
                     56,                 1.9376,                  1.082,                0.89621,                0.45957,                0.32754,                0.32878,                0.13815,                 1.9755,                 1.0814,                0.89902,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.9326,                 1.0763,                0.89804,                0.44784,                0.32814,                0.33121,                0.13985,                 1.9755,                 1.0856,                0.90097,                0.00538,                0.00538,                0.00538
                     58,                 1.9254,                 1.0814,                0.89748,                0.40928,                 0.3325,                0.32438,                0.13657,                  1.977,                 1.0844,                0.90142,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.9133,                 1.0712,                0.89783,                0.45277,                 0.3257,                0.32984,                0.13932,                 1.9768,                 1.0836,                0.89951,               0.005215,               0.005215,               0.005215
                     60,                 1.9158,                 1.0647,                 0.8946,                0.44949,                0.32805,                0.32743,                0.13864,                 1.9626,                 1.0739,                0.89795,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.8855,                 1.0582,                0.89498,                0.45194,                 0.3214,                0.32677,                0.13802,                 1.9751,                  1.078,                0.89912,                0.00505,                0.00505,                0.00505
                     62,                 1.8879,                 1.0483,                 0.8934,                0.44589,                0.34036,                 0.3347,                0.14215,                 1.9542,                 1.0687,                0.89625,              0.0049675,              0.0049675,              0.0049675
                     63,                 1.8851,                 1.0471,                0.89435,                0.44964,                 0.3299,                0.33371,                0.14139,                 1.9685,                 1.0636,                 0.8988,               0.004885,               0.004885,               0.004885
                     64,                 1.9058,                 1.0592,                0.88909,                0.44289,                0.33405,                0.33108,                0.13936,                 1.9679,                 1.0684,                0.89936,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.8855,                 1.0438,                0.88997,                0.45207,                0.32843,                 0.3324,                0.14193,                 1.9604,                 1.0695,                0.89821,                0.00472,                0.00472,                0.00472
                     66,                 1.8902,                 1.0454,                0.88608,                0.44001,                0.33408,                0.33288,                0.14086,                 1.9695,                 1.0654,                0.89943,              0.0046375,              0.0046375,              0.0046375
                     67,                 1.8689,                 1.0333,                0.88509,                0.45938,                0.33261,                0.33097,                0.14007,                 1.9657,                 1.0745,                0.89866,               0.004555,               0.004555,               0.004555
                     68,                 1.8679,                 1.0306,                0.88621,                0.44989,                0.33216,                0.32953,                0.14026,                 1.9674,                  1.071,                0.89956,              0.0044725,              0.0044725,              0.0044725
                     69,                 1.8781,                 1.0358,                0.88565,                0.44336,                0.33301,                0.33015,                0.13999,                 1.9633,                 1.0677,                0.89923,                0.00439,                0.00439,                0.00439
                     70,                 1.8584,                 1.0174,                0.88338,                0.43911,                0.33156,                 0.3302,                0.14087,                 1.9631,                   1.07,                0.89785,              0.0043075,              0.0043075,              0.0043075
                     71,                 1.8545,                 1.0133,                0.88603,                0.47361,                0.33264,                0.33684,                 0.1434,                 1.9596,                 1.0712,                0.89815,               0.004225,               0.004225,               0.004225
                     72,                 1.8497,                  1.017,                 0.8853,                0.44451,                0.32806,                0.32922,                0.13911,                 1.9592,                  1.068,                0.89935,              0.0041425,              0.0041425,              0.0041425
                     73,                 1.8311,                 1.0057,                0.88478,                0.44004,                0.34034,                0.33166,                0.13995,                  1.965,                   1.07,                0.89841,                0.00406,                0.00406,                0.00406
                     74,                 1.8348,                 1.0012,                0.88194,                0.43748,                0.33749,                0.33424,                0.14051,                  1.956,                 1.0629,                0.89712,              0.0039775,              0.0039775,              0.0039775
                     75,                 1.8037,                0.99171,                0.88251,                0.43892,                0.34093,                0.33463,                0.14252,                 1.9553,                 1.0616,                0.89706,               0.003895,               0.003895,               0.003895
                     76,                 1.8098,                0.98615,                0.88175,                0.47584,                0.32644,                0.33786,                0.14342,                 1.9526,                 1.0547,                0.89727,              0.0038125,              0.0038125,              0.0038125
                     77,                 1.8082,                0.98486,                0.88253,                0.41705,                0.34084,                0.33244,                0.14324,                  1.953,                 1.0541,                0.89757,                0.00373,                0.00373,                0.00373
                     78,                 1.8234,                0.99377,                0.87634,                0.45129,                0.33204,                0.33299,                0.14137,                 1.9533,                 1.0584,                0.89831,              0.0036475,              0.0036475,              0.0036475
                     79,                 1.8013,                0.98064,                0.87791,                0.46207,                0.33451,                0.33685,                0.14256,                 1.9511,                 1.0605,                 0.8978,               0.003565,               0.003565,               0.003565
                     80,                 1.8129,                0.98435,                0.87547,                0.44914,                0.33419,                 0.3337,                 0.1415,                 1.9614,                 1.0635,                0.89858,              0.0034825,              0.0034825,              0.0034825
                     81,                 1.7909,                0.97129,                0.87426,                0.45014,                0.33852,                0.33488,                0.14136,                 1.9592,                 1.0635,                0.89838,                 0.0034,                 0.0034,                 0.0034
                     82,                 1.7891,                0.97037,                0.87403,                0.46774,                0.33132,                0.33119,                0.14154,                 1.9513,                 1.0598,                 0.8979,              0.0033175,              0.0033175,              0.0033175
                     83,                 1.8132,                 0.9838,                0.87592,                0.44145,                0.33906,                 0.3321,                0.14174,                 1.9539,                 1.0609,                0.89794,               0.003235,               0.003235,               0.003235
                     84,                 1.7763,                0.95729,                0.87205,                 0.4347,                0.34204,                0.33289,                0.14207,                 1.9551,                 1.0616,                0.89773,              0.0031525,              0.0031525,              0.0031525
                     85,                 1.7736,                0.95415,                0.87362,                0.46504,                0.33446,                0.33894,                0.14398,                 1.9559,                 1.0614,                0.89854,                0.00307,                0.00307,                0.00307
